review,kebersihan,linen,service,Gabungan
"sy booking 2kmr hr sabtu, air mati shg tdk bs mandi maupun utk urusan kamar kecil. kamar mandi sangat kotor.  Ranjang baik, kebersihan kamar lumayan. prncahayaan ruangan kirang lampu.",neg,neut,neut,negneutneut
"Saya menemukan sarang laba-laba di sudut kamar, tidak dilakukan pembersihan dengan baik.",neg,,,
Kamar mandi terlihat kotor dan tidak terawat dengan baik.,neg,,,
"Lantai kamar terasa lengket dan kotor, membuat saya merasa tidak nyaman.",neg,,,
Saya kecewa dengan kualitas kebersihan linen dan selimut di kamar.,neg,,,
"Kamar tercium bau yang tidak sedap, membuat pengalaman menginap tidak menyenangkan.",neg,,,
Fasilitas umum seperti lift dan tangga terlihat kotor dan tidak terawat.,neg,,,
"Kebersihan ruang makan di hotel ini sangat buruk, meja tidak dibersihkan dengan baik.",neg,,,
Saya menemukan noda dan kotoran di sofa di dalam kamar.,neg,,,
Area kolam renang terlihat kotor dan tidak terjaga kebersihannya.,neg,,,
"Pengalaman check-in yang buruk, kamar tampak kotor dan berantakan.",neg,,,
"Banyak debu di ventilasi dan AC, terasa kurang terjaga kebersihannya.",neg,,,
Kamar terlihat kumuh dan tidak terawat dengan baik.,neg,,,
Terdapat bau yang tidak enak di dalam lemari kamar.,neg,,,
"Kebersihan kamar terlihat kurang diperhatikan, terutama di sudut-sudut ruangan.",neg,,,
Saya menemukan bekas makanan dari tamu sebelumnya di dalam lemari es.,neg,,,
Kebersihan linen dan handuk yang disediakan sangat mengecewakan.,neg,,,
"Ada rambut yang tersebar di lantai kamar, tanda bahwa pembersihan kurang optimal.",neg,,,
Kondisi kamar sangat jauh dari standar kebersihan yang diharapkan.,neg,,,
Penggunaan produk pembersih yang tidak tepat meninggalkan aroma yang kurang menyenangkan di kamar.,neg,,,
"Kebersihan jendela kamar kurang terjaga, terdapat banyak debu yang menempel.",neg,,,
Area parkir terlihat kotor dan tidak terawat dengan baik.,neg,,,
Pelayanan housekeeping sangat lambat dalam membersihkan kamar.,neg,,,
"Penggunaan pewangi yang berlebihan mengganggu alergi saya, memberi kesan kurang bersih.",neg,,,
"Saya menemukan bekas makanan di bawah tempat tidur, tidak dibersihkan dengan baik.",neg,,,
Kebersihan handuk yang disediakan di kamar sangat memprihatinkan.,neg,,,
"Saya kecewa dengan kualitas pembersihan di kamar mandi, terdapat banyak noda yang tidak hilang.",neg,,,
"Ketika saya tiba di kamar, saya menemukan sampah yang tidak dibersihkan di bak sampah.",neg,,,
"Kebersihan linen tempat tidur sangat buruk, terdapat noda yang tidak bisa diabaikan.",neg,,,
Saya merasa kecewa karena lantai kamar terasa lengket dan kotor.,neg,,,
Penggunaan alat pembersih yang tidak tepat meninggalkan jejak noda di permukaan meja.,neg,,,
"Kebersihan kamar sangat mengecewakan, saya menemukan banyak debu di sana.",neg,,,
Saya merasa kecewa karena kamar tidak dibersihkan dengan baik sebelum kedatangan saya.,neg,,,
"Ada bau yang tidak sedap di dalam kamar, membuat pengalaman menginap tidak menyenangkan.",neg,,,
"Sayang sekali, kebersihan kamar mandi kurang terjaga dengan baik.",neg,,,
Saya tidak menduga akan menemukan noda di linen tempat tidur.,neg,,,
"Pelayanan housekeeping sangat kurang, kamar tidak dibersihkan dengan baik setiap hari.",neg,,,
"Saya menemukan rambut di wastafel dan di lantai kamar, cukup menjijikkan.",neg,,,
"Kebersihan kamar sangat buruk, banyak debu di segala penjuru.",neg,,,
Saya merasa tidak nyaman karena kesan kebersihan yang kurang terjaga di area umum hotel.,neg,,,
"Layanan kebersihan yang kurang memuaskan, handuk diganti namun kotoran di kamar tidak dibersihkan.",neg,,,
"Pengalaman check-in pertama kali sangat mengecewakan, kamar belum siap dan kotor.",neg,,,
Kamar terlihat kusam dan kurang terawat dengan baik dari segi kebersihan.,neg,,,
Menginap di kamar yang tidak bersih sama sekali membuat saya merasa tidak nyaman.,neg,,,
Ada bekas-bekas noda yang tidak dibersihkan di meja dan kursi di dalam kamar.,neg,,,
Pengalaman buruk karena kebersihan kamar yang kurang memadai.,neg,,,
"Saya menemukan kotoran di karpet kamar, sangat mengecewakan.",neg,,,
"Bathroom amenities yang tampaknya sudah lama tidak diganti, terasa kurang higienis.",neg,,,
Saya kecewa karena kebersihan kamar tidak sebanding dengan harga yang dibayarkan.,neg,,,
"Ada bau yang tidak sedap di koridor, memberi kesan kurangnya perhatian pada kebersihan.",neg,,,
"Sangat disayangkan, kebersihan kamar mandi tidak terjaga dengan baik.",neg,,,
